,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"Sorocaba, SP, Brasil",2023-08-21,28.2,18.0,21.8,27.2,18.0,21.7,12.3,57.2,0.3,100.0,4.17,rain,0,0,24.1,17.3,326.8,1012.7,36.4,18.2,233.4,20.2,8,30,2023-08-21T06:30:47,2023-08-21T17:55:36,0.18,"Rain, Partially cloudy",Clearing in the afternoon with storms possible.,rain,SBKP
1,"Sorocaba, SP, Brasil",2023-08-22,31.9,15.8,23.4,30.2,15.8,22.9,10.2,47.1,0.0,0.0,0.0,,0,0,25.2,19.4,16.6,1009.9,0.0,24.1,241.4,20.8,8,10,2023-08-22T06:29:56,2023-08-22T17:55:58,0.21,Clear,Clear conditions throughout the day.,clear-day,
2,"Sorocaba, SP, Brasil",2023-08-23,36.4,19.4,27.0,34.1,19.4,26.2,7.7,31.8,0.0,0.0,0.0,,0,0,40.3,27.4,346.6,1006.9,7.5,24.1,242.7,20.9,8,10,2023-08-23T06:29:04,2023-08-23T17:56:19,0.25,Clear,Clear conditions throughout the day.,clear-day,
3,"Sorocaba, SP, Brasil",2023-08-24,36.4,18.4,26.3,34.1,18.4,25.6,8.9,37.9,0.0,19.0,0.0,,0,0,41.8,30.6,42.2,1006.7,57.8,24.1,185.1,16.0,7,10,2023-08-24T06:28:11,2023-08-24T17:56:40,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
4,"Sorocaba, SP, Brasil",2023-08-25,25.9,16.8,19.7,25.9,16.8,19.7,14.9,74.6,0.0,23.8,0.0,,0,0,41.8,23.8,135.3,1010.0,70.7,23.6,186.1,16.0,8,10,2023-08-25T06:27:18,2023-08-25T17:57:01,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
5,"Sorocaba, SP, Brasil",2023-08-26,22.1,15.4,18.2,22.1,15.4,18.2,15.2,82.9,0.9,90.5,25.0,rain,0,0,40.8,20.5,155.7,1010.3,95.1,19.1,120.3,10.5,5,10,2023-08-26T06:26:24,2023-08-26T17:57:21,0.35,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,
6,"Sorocaba, SP, Brasil",2023-08-27,15.6,13.2,14.3,15.6,13.2,14.3,11.7,84.4,4.5,85.7,25.0,rain,0,0,44.6,28.8,146.0,1016.6,99.4,21.2,57.4,5.0,2,10,2023-08-27T06:25:30,2023-08-27T17:57:42,0.38,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,
7,"Sorocaba, SP, Brasil",2023-08-28,15.3,12.2,13.3,15.3,12.2,13.3,8.8,74.2,0.2,33.3,8.33,rain,0,0,45.7,25.6,143.8,1022.0,72.1,24.1,154.1,13.2,5,10,2023-08-28T06:24:35,2023-08-28T17:58:02,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
