,datetime,description,icon
0,2023-08-21,Clearing in the afternoon with storms possible.,rain
1,2023-08-22,Clear conditions throughout the day.,clear-day
2,2023-08-23,Clear conditions throughout the day.,clear-day
3,2023-08-24,Partly cloudy throughout the day.,partly-cloudy-day
4,2023-08-25,Partly cloudy throughout the day.,partly-cloudy-day
5,2023-08-26,Cloudy skies throughout the day with late afternoon rain.,rain
6,2023-08-27,Cloudy skies throughout the day with a chance of rain throughout the day.,rain
7,2023-08-28,Partly cloudy throughout the day.,partly-cloudy-day
