,datetime,tempmin,temp,tempmax
0,2023-08-21,18.0,21.8,28.2
1,2023-08-22,15.8,23.4,31.9
2,2023-08-23,19.4,27.0,36.4
3,2023-08-24,18.4,26.3,36.4
4,2023-08-25,16.8,19.7,25.9
5,2023-08-26,15.4,18.2,22.1
6,2023-08-27,13.2,14.3,15.6
7,2023-08-28,12.2,13.3,15.3
