,datetime,description,icon
0,2023-08-28,Partly cloudy throughout the day with afternoon rain.,rain
1,2023-08-29,Partly cloudy throughout the day.,partly-cloudy-day
2,2023-08-30,Clear conditions throughout the day.,clear-day
3,2023-08-31,Partly cloudy throughout the day.,partly-cloudy-day
4,2023-09-01,Becoming cloudy in the afternoon.,partly-cloudy-day
5,2023-09-02,Partly cloudy throughout the day with late afternoon rain.,rain
6,2023-09-03,Partly cloudy throughout the day with a chance of rain.,rain
7,2023-09-04,Partly cloudy throughout the day.,partly-cloudy-day
