,datetime,tempmin,temp,tempmax
0,2023-08-28,12.5,15.3,20.0
1,2023-08-29,11.7,15.3,20.3
2,2023-08-30,12.1,17.7,24.8
3,2023-08-31,13.3,19.4,27.5
4,2023-09-01,14.4,21.3,30.0
5,2023-09-02,18.8,24.4,32.5
6,2023-09-03,19.9,25.2,33.3
7,2023-09-04,19.9,26.1,34.5
