,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"Sorocaba, SP, Brasil",2023-08-28,20.0,12.5,15.3,20.0,12.5,15.3,11.1,76.8,0.1,100.0,4.17,rain,0,0,41.4,33.5,135.2,1021.0,81.9,11.2,53.4,4.8,2,10,2023-08-28T06:24:35,2023-08-28T17:58:02,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"SBKP,remote"
1,"Sorocaba, SP, Brasil",2023-08-29,20.3,11.7,15.3,20.3,11.7,15.3,11.7,79.8,0.0,9.5,0.0,,0,0,33.1,15.8,150.0,1020.5,69.4,24.0,109.4,9.5,6,10,2023-08-29T06:23:39,2023-08-29T17:58:22,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
2,"Sorocaba, SP, Brasil",2023-08-30,24.8,12.1,17.7,24.8,12.1,17.7,11.5,70.5,0.0,14.3,0.0,,0,0,28.1,14.4,180.8,1017.4,1.0,24.1,251.8,21.8,9,10,2023-08-30T06:22:43,2023-08-30T17:58:42,0.5,Clear,Clear conditions throughout the day.,clear-day,
3,"Sorocaba, SP, Brasil",2023-08-31,27.5,13.3,19.4,26.7,13.3,19.2,9.9,58.2,0.0,4.8,0.0,,0,0,32.0,17.6,155.9,1017.5,66.3,24.1,240.9,20.8,8,10,2023-08-31T06:21:46,2023-08-31T17:59:02,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
4,"Sorocaba, SP, Brasil",2023-09-01,30.0,14.4,21.3,29.1,14.4,21.1,13.8,65.8,0.0,9.5,0.0,,0,0,43.9,20.9,114.3,1016.8,39.7,24.1,251.5,21.8,9,10,2023-09-01T06:20:49,2023-09-01T17:59:21,0.55,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,
5,"Sorocaba, SP, Brasil",2023-09-02,32.5,18.8,24.4,31.6,18.8,24.2,15.3,60.4,1.1,76.2,8.33,rain,0,0,44.6,25.2,37.7,1013.9,73.8,23.3,272.3,23.7,8,10,2023-09-02T06:19:51,2023-09-02T17:59:41,0.59,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,
6,"Sorocaba, SP, Brasil",2023-09-03,33.3,19.9,25.2,32.7,19.9,25.1,16.1,60.3,1.5,66.7,12.5,rain,0,0,32.0,21.2,61.9,1013.8,72.3,24.0,226.1,19.8,8,10,2023-09-03T06:18:53,2023-09-03T18:00:00,0.62,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain.,rain,
7,"Sorocaba, SP, Brasil",2023-09-04,34.5,19.9,26.1,33.7,19.9,25.9,15.0,53.2,2.0,19.0,8.33,rain,0,0,50.2,24.6,21.1,1014.1,80.3,21.0,234.9,20.4,8,10,2023-09-04T06:17:54,2023-09-04T18:00:19,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
